time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-15 00:00:00+00:00,13,9,0,0
2026-06-16 00:00:00+00:00,7,6,0,0
2026-06-17 00:00:00+00:00,10,6,0,0
2026-06-18 00:00:00+00:00,18,11,0,0
2026-06-19 00:00:00+00:00,6,5,0,0
2026-06-20 00:00:00+00:00,11,4,0,0
2026-06-21 00:00:00+00:00,25,12,0,0
2026-06-22 00:00:00+00:00,24,14,0,0
2026-06-23 00:00:00+00:00,22,11,0,0
2026-06-24 00:00:00+00:00,7,6,0,0
2026-06-25 00:00:00+00:00,13,8,0,0
2026-06-26 00:00:00+00:00,11,7,0,0
2026-06-27 00:00:00+00:00,14,10,0,0
2026-06-28 00:00:00+00:00,12,8,0,0
