time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,4,4,6,4
2026-04-19 00:00:00+00:00,2,2,8,8
2026-04-20 00:00:00+00:00,5,5,11,6
2026-04-21 00:00:00+00:00,4,3,10,8
2026-04-22 00:00:00+00:00,98,29,14,7
2026-04-23 00:00:00+00:00,23,11,31,10
2026-04-24 00:00:00+00:00,30,21,25,15
2026-04-25 00:00:00+00:00,6,6,11,11
2026-04-26 00:00:00+00:00,7,6,5,5
2026-04-27 00:00:00+00:00,3,2,14,6
2026-04-28 00:00:00+00:00,7,6,8,8
2026-04-29 00:00:00+00:00,9,2,22,14
2026-04-30 00:00:00+00:00,6,6,15,10
2026-05-01 00:00:00+00:00,9,7,13,8
