time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-22 00:00:00+00:00,382,88,25,18
2026-06-23 00:00:00+00:00,9,7,15,13
2026-06-24 00:00:00+00:00,6,6,10,9
2026-06-25 00:00:00+00:00,7,3,14,14
2026-06-26 00:00:00+00:00,11,6,21,18
2026-06-27 00:00:00+00:00,5,3,20,16
2026-06-28 00:00:00+00:00,5,3,9,9
2026-06-29 00:00:00+00:00,75,16,13,11
2026-06-30 00:00:00+00:00,8,7,15,13
2026-07-01 00:00:00+00:00,195,45,26,19
2026-07-02 00:00:00+00:00,85,23,18,15
2026-07-03 00:00:00+00:00,92,13,27,19
2026-07-04 00:00:00+00:00,21,13,48,9
2026-07-05 00:00:00+00:00,172,39,15,13
