time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,75,16,13,11
2026-06-30 00:00:00+00:00,8,7,15,13
2026-07-01 00:00:00+00:00,195,45,26,19
2026-07-02 00:00:00+00:00,85,23,18,15
2026-07-03 00:00:00+00:00,92,13,27,19
2026-07-04 00:00:00+00:00,21,13,48,9
2026-07-05 00:00:00+00:00,172,39,15,13
2026-07-06 00:00:00+00:00,110,26,17,15
2026-07-07 00:00:00+00:00,8,5,14,10
2026-07-08 00:00:00+00:00,4,3,24,18
2026-07-09 00:00:00+00:00,18,9,59,27
2026-07-10 00:00:00+00:00,32,18,49,30
2026-07-11 00:00:00+00:00,144,37,19,14
2026-07-12 00:00:00+00:00,22,8,33,20
