time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-13 00:00:00+00:00,9,7,14,12
2026-06-14 00:00:00+00:00,294,63,9,8
2026-06-15 00:00:00+00:00,46,21,12,9
2026-06-16 00:00:00+00:00,16,12,6,6
2026-06-17 00:00:00+00:00,8,5,21,16
2026-06-18 00:00:00+00:00,17,5,21,13
2026-06-19 00:00:00+00:00,11,7,18,15
2026-06-20 00:00:00+00:00,49,13,12,8
2026-06-21 00:00:00+00:00,361,81,34,24
2026-06-22 00:00:00+00:00,382,88,25,18
2026-06-23 00:00:00+00:00,9,7,15,13
2026-06-24 00:00:00+00:00,6,6,10,9
2026-06-25 00:00:00+00:00,7,3,14,14
2026-06-26 00:00:00+00:00,11,6,21,18
